Dimension,Epochs,Length_of_Walk,Num_Walks,Context_Size,Return_Hyperparam,Accuracy,Balanced_Accuracy,F1_Score,Matthews_Corrcoef,Roc_Auc,Precision,Recall
32,1,80,10,10,0.5,0.9294532627865961,0.7200819134560341,0.5514018691588785,0.5261949691082182,0.720081913456034,0.6828703703703703,0.46238244514106586
32,1,80,10,10,1,0.929159318048207,0.7157040784888716,0.5452830188679245,0.5213937567361588,0.7157040784888716,0.6848341232227488,0.45297805642633227
32,1,80,10,10,2,0.932392710170488,0.7111645722269052,0.5490196078431373,0.5348060605072749,0.7111645722269052,0.7329842931937173,0.438871473354232
32,1,80,10,20,0.5,0.931657848324515,0.7255139164413607,0.5641986879100281,0.5409370171350469,0.7255139164413607,0.7016317016317016,0.4717868338557994
32,1,80,10,20,1,0.9300411522633745,0.7182984452102082,0.5509433962264152,0.5276647861050299,0.7182984452102082,0.6919431279620853,0.45768025078369906
32,1,80,10,20,2,0.927689594356261,0.6959227312890897,0.515748031496063,0.49866703684037206,0.6959227312890897,0.6931216931216931,0.4106583072100313
32,1,80,20,10,0.5,0.9281305114638448,0.698976437679783,0.5210577864838394,0.503318651778314,0.6989764376797831,0.6945169712793734,0.4169278996865204
32,1,80,20,10,1,0.9326866549088771,0.7155424071940676,0.5553398058252428,0.5393057288307969,0.7155424071940676,0.7295918367346939,0.4482758620689655
32,1,80,20,10,2,0.9290123456790124,0.7100021149452402,0.5377990430622009,0.5162741541309479,0.7100021149452402,0.6904176904176904,0.44043887147335425
32,1,80,20,20,0.5,0.9320987654320988,0.7222441399239636,0.5616698292220114,0.5408082331632924,0.7222441399239636,0.7115384615384616,0.46394984326018807
32,1,80,20,20,1,0.9273956496178718,0.7034892529260979,0.5249999999999999,0.5031676497125523,0.7034892529260979,0.6791044776119403,0.4278996865203762
32,1,80,20,20,2,0.9328336272780717,0.7261626352217693,0.5684608120868744,0.5472798784354279,0.7261626352217693,0.7149643705463183,0.4717868338557994
32,1,120,10,10,0.5,0.9304820693709582,0.709407794996731,0.5412221144519884,0.52333017344929,0.709407794996731,0.7099236641221374,0.4373040752351097
32,1,120,10,10,1,0.9329805996472663,0.7269463342813305,0.569811320754717,0.5485682173346002,0.7269463342813304,0.7156398104265402,0.47335423197492166
32,1,120,10,10,2,0.9273956496178718,0.6985709884420276,0.5185185185185185,0.49924054936813866,0.6985709884420276,0.6855670103092784,0.4169278996865204
32,1,120,10,20,0.5,0.9307760141093474,0.7137856299638934,0.5475504322766571,0.5280124567334975,0.7137856299638934,0.707196029776675,0.44670846394984326
32,1,120,10,20,1,0.9313639035861259,0.7148125985661078,0.5505293551491819,0.5317872330662715,0.7148125985661078,0.713216957605985,0.4482758620689655
32,1,120,10,20,2,0.932392710170488,0.7217037104070558,0.5619047619047619,0.5419360798894014,0.7217037104070558,0.7160194174757282,0.46238244514106586
32,1,120,20,10,0.5,0.9318048206937096,0.7122454312607209,0.5486381322957198,0.5323333370098797,0.7122454312607209,0.7230769230769231,0.44200626959247646
32,1,120,20,10,1,0.9344503233392122,0.7361885433009618,0.5847299813780261,0.5622845505012324,0.7361885433009617,0.7201834862385321,0.49216300940438873
32,1,120,20,10,2,0.9326866549088771,0.7274867637982383,0.5695488721804511,0.5474584591576668,0.7274867637982382,0.7112676056338029,0.47492163009404387
32,1,120,20,20,0.5,0.9326866549088771,0.7127319703460274,0.5518590998043053,0.5374545347713544,0.7127319703460274,0.734375,0.44200626959247646
32,1,120,20,20,1,0.9279835390946503,0.7094344860123827,0.5342205323193917,0.5107868298167929,0.7094344860123827,0.678743961352657,0.44043887147335425
32,1,120,20,20,2,0.9337154614932393,0.7189204729749653,0.562560620756547,0.5471032685071618,0.7189204729749653,0.7379134860050891,0.45454545454545453
32,3,80,10,10,0.5,0.9331275720164609,0.7298378609769217,0.5735707591377694,0.5513088012636419,0.7298378609769217,0.7132867132867133,0.47962382445141066
32,3,80,10,10,1,0.9325396825396826,0.7175691449825465,0.5573770491803279,0.5398752092213701,0.7175691449825466,0.7243107769423559,0.45297805642633227
32,3,80,10,10,2,0.9340094062316284,0.7218930895181077,0.5670202507232401,0.5506046279585026,0.7218930895181077,0.7368421052631579,0.4608150470219436
32,3,80,10,20,0.5,0.9312169312169312,0.7210549916266471,0.55765595463138,0.5355146262139632,0.7210549916266471,0.7023809523809523,0.46238244514106586
32,3,80,10,20,1,0.9293062904174015,0.7101642946403424,0.538830297219559,0.5178660766773697,0.7101642946403423,0.6938271604938272,0.44043887147335425
32,3,80,10,20,2,0.9301881246325691,0.7085430060896187,0.539282250242483,0.5211689829894834,0.7085430060896187,0.7073791348600509,0.43573667711598746
32,3,80,20,10,0.5,0.9365079365079365,0.7345133643186368,0.5893536121673003,0.5719513542908348,0.7345133643186369,0.748792270531401,0.48589341692789967
32,3,80,20,10,1,0.9328336272780717,0.7177313246776488,0.5584541062801932,0.5415522875632126,0.7177313246776488,0.7279596977329975,0.45297805642633227
32,3,80,20,10,2,0.9312169312169312,0.7070028073864463,0.5402750491159135,0.5255617695293471,0.7070028073864462,0.7236842105263158,0.43103448275862066
32,3,80,20,20,0.5,0.9303350970017636,0.7226762801773707,0.5570093457943924,0.5323978537312739,0.7226762801773707,0.6898148148148148,0.4670846394984326
32,3,80,20,20,1,0.928424456202234,0.7138934108270961,0.5409990574929313,0.5164460322522386,0.7138934108270961,0.6784869976359338,0.4498432601880878
32,3,80,20,20,2,0.9334215167548501,0.7187582932798632,0.5614714424007744,0.5453972427355352,0.7187582932798632,0.7341772151898734,0.45454545454545453
32,3,120,10,10,0.5,0.9307760141093474,0.7144882391759035,0.548418024928092,0.5285207133093133,0.7144882391759034,0.7061728395061728,0.4482758620689655
32,3,120,10,10,1,0.9322457378012934,0.727946103467595,0.568755846585594,0.5455865729096196,0.727946103467595,0.7053364269141531,0.47648902821316613
32,3,120,10,10,2,0.9240152851263962,0.7037320140684531,0.5163704396632367,0.4876304076124878,0.7037320140684531,0.6403712296983759,0.43260188087774293
32,3,120,10,20,0.5,0.9322457378012934,0.7300539311036252,0.5711627906976744,0.5470960895209172,0.7300539311036253,0.7025171624713958,0.48119122257053293
32,3,120,10,20,1,0.9357730746619636,0.7298922598088211,0.5818181818181818,0.5651725555478334,0.7298922598088211,0.7469287469287469,0.47648902821316613
32,3,120,10,20,2,0.9301881246325691,0.7071377876655986,0.5374878286270691,0.5201496345041084,0.7071377876655988,0.7095115681233933,0.43260188087774293
32,3,120,20,10,0.5,0.9282774838330394,0.7208384130996455,0.5489833641404805,0.5213107372960335,0.7208384130996454,0.668918918918919,0.46551724137931033
32,3,120,20,10,1,0.9312169312169312,0.7154341179305668,0.5508637236084454,0.5314665168534941,0.7154341179305668,0.7103960396039604,0.4498432601880878
32,3,120,20,10,2,0.9350382128159906,0.735107684267146,0.5853658536585366,0.5645636085939995,0.735107684267146,0.7289719626168224,0.4890282131661442
32,3,120,20,20,0.5,0.9304820693709582,0.7171364963288415,0.5508072174738841,0.5289741247639936,0.7171364963288415,0.6987951807228916,0.45454545454545453
32,3,120,20,20,1,0.9340094062316284,0.7352426645462985,0.5823255813953488,0.5594355255932975,0.7352426645462985,0.7162471395881007,0.49059561128526646
32,3,120,20,20,2,0.9290123456790124,0.7092995057332302,0.5369127516778522,0.5157351493509811,0.7092995057332302,0.691358024691358,0.438871473354232
64,1,80,10,10,0.5,0.9318048206937096,0.69889585623253,0.5313131313131314,0.523539337762596,0.6988958562325301,0.7471590909090909,0.4122257053291536
64,1,80,10,10,1,0.9307760141093474,0.7109751931158532,0.5440464666021297,0.5259928064248399,0.7109751931158532,0.7113924050632912,0.44043887147335425
64,1,80,10,10,2,0.930922986478542,0.7082458461153642,0.5410156249999999,0.5248375914484635,0.7082458461153641,0.7176165803108808,0.4341692789968652
64,1,80,10,20,0.5,0.9294532627865961,0.7137584305479436,0.5437262357414449,0.5213324374847311,0.7137584305479436,0.6908212560386473,0.4482758620689655
