Dimension,Epochs,Length_of_Walk,Num_Walks,Context_Size,Return_Hyperparam,Accuracy,Balanced_Accuracy,F1_Score,Matthews_Corrcoef,Roc_Auc,Precision,Recall
32,1,80,10,10,0.5,0.9020583578375932,0.7204591231963495,0.5612968591691997,0.5196408376020965,0.7204591231963495,0.6890547263681592,0.4735042735042735
32,1,80,10,10,1,0.9047726758651888,0.7328886036915234,0.5810945273631841,0.5382531053684293,0.7328886036915234,0.6952380952380952,0.49914529914529915
32,1,80,10,10,2,0.9081655733996833,0.736292478810727,0.5915492957746478,0.5526561535483293,0.736292478810727,0.7188264058679706,0.5025641025641026
32,1,80,10,20,0.5,0.8977606876272337,0.6933544557632149,0.5181236673773987,0.48341885766139664,0.693354455763215,0.6883852691218131,0.4153846153846154
32,1,80,10,20,1,0.9054512553720878,0.7224142848230439,0.5699588477366255,0.5333182868677151,0.722414284823044,0.7157622739018088,0.4735042735042735
32,1,80,10,20,2,0.9083917665686496,0.732076682441646,0.5871559633027523,0.5507420035873206,0.7320766824416459,0.7272727272727273,0.49230769230769234
32,1,80,20,10,0.5,0.9031893236824248,0.7182134167535628,0.5605749486652977,0.5220277802473158,0.7182134167535629,0.7017994858611826,0.4666666666666667
32,1,80,20,10,1,0.9092965392445148,0.7333224156216858,0.5903983656792646,0.5549639419579359,0.7333224156216858,0.733502538071066,0.49401709401709404
32,1,80,20,10,2,0.9059036417100204,0.7262967567712093,0.5755102040816327,0.5376382077344881,0.7262967567712094,0.7139240506329114,0.48205128205128206
32,1,80,20,20,0.5,0.9097489255824475,0.7314100335998146,0.5890834191555098,0.5555382820722556,0.7314100335998147,0.7409326424870466,0.4888888888888889
32,1,80,20,20,1,0.9072608007238181,0.7249057511831235,0.5764462809917356,0.5418327415934504,0.7249057511831235,0.7284595300261096,0.47692307692307695
32,1,80,20,20,2,0.9079393802307171,0.740508275179808,0.5958291956305859,0.5546835982410078,0.740508275179808,0.7109004739336493,0.5128205128205128
32,1,120,10,10,0.5,0.9047726758651888,0.7314398901990142,0.5794205794205795,0.537201871548477,0.7314398901990142,0.6971153846153846,0.49572649572649574
