Model,Class,Accuracy,Balanced_Accuracy,F1_Score,Matthews_Corrcoef,Roc_Auc,Precision,Recall
1,gcn,0.900352733686067,0.540401179802933,0.1546134663341646,0.16262463444639674,0.540401179802933,0.4161073825503356,0.09494640122511486
2,gcn,0.9046149323927102,0.5591843405982617,0.20950060901339826,0.22467690544957947,0.5591843405982618,0.5119047619047619,0.13169984686064318
3,gcn,0.9035861258083481,0.5415050977156567,0.15681233933161953,0.18207493443464254,0.5415050977156567,0.488,0.09341500765696784
4,gcn,0.90108759553204,0.5538113923631487,0.1940119760479042,0.1964732354995489,0.5538113923631487,0.44505494505494503,0.12404287901990811
1,graphsage_maxpool,0.9027042915931804,0.5519679191595485,0.18872549019607845,0.2002092944415133,0.5519679191595486,0.4723926380368098,0.11791730474732007
2,graphsage_maxpool,0.9022633744855967,0.5640434217671002,0.22222222222222227,0.22229031067484709,0.5640434217671002,0.47029702970297027,0.14548238897396631
3,graphsage_maxpool,0.9081422692533804,0.585773973678753,0.2807825086306099,0.2882115023337563,0.585773973678753,0.5648148148148148,0.18683001531393567
4,graphsage_maxpool,0.907554379776602,0.5875020508623829,0.2844141069397042,0.2876580471208844,0.5875020508623829,0.5530973451327433,0.19142419601837674
1,graphsage_mean,0.9022633744855967,0.5503552379958886,0.18404907975460125,0.19457953439398126,0.5503552379958886,0.46296296296296297,0.11485451761102604
2,graphsage_mean,0.9040270429159318,0.5814446934387093,0.2671156004489338,0.2611459680912639,0.5814446934387093,0.5,0.18223583460949463
3,graphsage_mean,0.9124044679600235,0.6120856355482481,0.3450549450549451,0.34635517135927985,0.612085635548248,0.6108949416342413,0.24042879019908117
4,graphsage_mean,0.91005291005291,0.6094162156429201,0.3362255965292842,0.3307822551246658,0.6094162156429201,0.5762081784386617,0.23736600306278713
1,graphsage_meanpool,0.9025573192239859,0.546411358055551,0.17228464419475656,0.18743306717758523,0.546411358055551,0.46621621621621623,0.10566615620214395
2,graphsage_meanpool,0.902851263962375,0.5725814824118789,0.2445714285714286,0.24067437774759504,0.5725814824118789,0.481981981981982,0.1638591117917305
3,graphsage_meanpool,0.9185773074661964,0.6462981280450171,0.42171189979123175,0.4165096144183146,0.6462981280450172,0.6622950819672131,0.3093415007656968
4,graphsage_meanpool,0.9149029982363316,0.6278401176317401,0.38074866310160427,0.3778432429150719,0.6278401176317401,0.6312056737588653,0.2725880551301684
1,graphsage_seq,0.9007936507936508,0.5351697690809871,0.13793103448275862,0.1513436449651507,0.535169769080987,0.4153846153846154,0.08269525267993874
2,graphsage_seq,0.9056437389770723,0.5734415375380638,0.24824355971896958,0.2555244916409993,0.5734415375380638,0.527363184079602,0.16232771822358347
3,graphsage_seq,0.9135802469135802,0.6325838027806083,0.3875,0.37629140626560376,0.6325838027806083,0.6058631921824105,0.28483920367534454
4,graphsage_seq,0.9103468547912993,0.6102632000225066,0.3383947939262473,0.3333428207728993,0.6102632000225067,0.5799256505576208,0.23889739663093415
2,n2v,0.9029982363315696,0.5042218511513336,0.02077151335311573,0.04483754353394997,0.5042218511513336,0.3333333333333333,0.010719754977029096
3,n2v,0.9029982363315696,0.5042218511513336,0.02077151335311573,0.04483754353394997,0.5042218511513336,0.3333333333333333,0.010719754977029096
4,n2v,0.9029982363315696,0.5042218511513336,0.02077151335311573,0.04483754353394997,0.5042218511513336,0.3333333333333333,0.010719754977029096
